"client_id","age","gender_code","directory","amrg_eop","acsh_eop","acrd_eop","pcur_eop","pcrd_eop","psav_eop","pdep_eop","swork_s","tpos_s","retail_cost","auto_cost","calls_cost","communal_cost","gos_cost","personal_cost","shops_cost","rent_cost","contract_cost","transport_cost","building_cost","prof_cost","business_cost","constributions_cost","avia_cost","vendors_cost","hotels_cost","pleasure_cost","finance_cost","other_cost","transactions_count","clothes_cost","auto_count","calls_count","communal_count","gos_count","personal_count","shops_count","clothes_count","rent_count","contract_count","transport_count","building_count","prof_count","business_count","constributions_count","avia_count","vendors_count","hotels_count","pleasure_count","finance_count","other_count","retail_count"
1,38,"Ж","Санкт-Петербург",0.0,742601.31,0.0,0.0,166353.83,0.0,0.0,286133.38,114454.28,9122.41,0,0,0,290.0,3707.0,22550.0,0,1010.0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1,2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17
2,38,"Ж","Нижний Новгород",0.0,250000.0,540.0,0.0,372.19,0.0,0.0,107920.36,92437.27,16653.97,5755.54,0,1428.0,0,0,58070.0,0,90.0,0,0,0,1690.0,0,0,0,0,0,0,0,49,0,6,0,1,0,0,6,0,0,3,0,0,0,1,0,0,0,0,0,0,0,15
3,37,"Ж","Нижний Новгород",0.0,247232.8,0.0,0.0,89735.56,0.0,0.0,88649.15,73698.68,26489.190000000002,6227.09,0,0,252.5,0,19800.0,0,335.0,0,4509.0,2500.0,0,0,0,0,0,0,0,0,90,0,5,0,0,1,0,6,0,0,3,0,3,2,0,0,0,0,0,0,0,0,40
4,37,"М","Нижний Новгород",0.0,1195448.42,0.0,0.0,314498.64,0.0,0.0,198273.64,133039.22,19582.909999999993,0,0,33141.259999999995,0.25,450.0,12621.0,0,20077.5,0,2439.5,1834.3799999999999,0,0,0,0,0,2020.79,0,0,134,0,0,0,5,1,1,6,0,0,21,0,2,4,0,0,0,0,0,3,0,0,37
5,58,"М","Нижний Новгород",5045174.72,0.0,0.0,0.81,179383.4,0.0,0.0,158434.28,54120.55,31286.87,9579.0,0,0,0,0,3984.0,0,4435.56,0,0,0,0,0,0,0,0,3000.0,6043.12,0,27,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,16
6,44,"М","Нижний Новгород",22500000,0.0,0.0,2516.89,98266.8,20036.89,0.0,572745.26,243215.17,110426.47000000002,0,0,38155.02,0,0,1700.0,0,19759.28,0,1793.0,200.0,0,0,0,0,0,4048.0,0,1365.36,105,0,0,0,6,0,0,1,0,0,49,0,3,1,0,0,0,0,0,10,0,1,16
7,35,"М","Новый Уренгой",1902108.55,1648746.16,20194.28,70224.61,81058.2,0.0,0.0,438589.44,176053.3,104893.81999999999,2614.7,0,8616.91,0,0,26056.0,0,700.0,0,0,538.0,0,0,0,0,0,999.35,0,0,77,0,2,0,8,0,0,9,0,0,1,0,0,1,0,0,0,0,0,1,0,0,22
8,36,"М","Новый Уренгой",0.0,742166.0,0.0,0.0,6729.67,75000.0,0.0,180052.32,52073.89,3361.409999999999,0,4106.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801.0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
9,31,"М","Казань",1612690.03,0.0,0.0,0.0,24262.0,150523.79,0.0,80267.92,58568.34,14127.159999999998,6170.73,425.51,1000.0,0,0,7895.0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,8,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
10,38,"М","Нижний Новгород",0.0,162351.56,0.0,0.0,22164.96,0.0,0.0,65689.87,96234.66,20051.940000000002,4961.0,0,0,5209.0,0,52229.0,0,0,0,600.0,0,0,0,0,0,0,0,3089.12,0,80,0,4,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,48
11,38,"М","Нижний Новгород",0.0,1260600.31,0.0,0.0,14853.64,45000.0,0.0,102702.12,65420.51,7092.0999999999985,11155.1,0,0,0,0,26517.0,0,400.0,0,0,0,0,0,0,0,0,500.0,0,0,89,0,10,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,1,0,0,26
12,34,"М","Нижний Новгород",0.0,1408004.51,0.0,0.06,29072.58,0.0,0.0,130192.01,98541.98,19949.09,0,0,4429.0,0,950.0,5237.0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
13,55,"М","Нижний Новгород",0.0,837506.74,0.0,50.26,343421.45,0.0,0.0,284282.05,74557.71,23051.12,2164.59,0,0,0,0,8895.0,0,3050.0,0,1590.0,0,0,0,0,0,0,4725.0,0,0,38,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,15
14,45,"Ж","Москва",0.0,195943.13,0.0,91355.57,51558.72,0.0,0.0,164884.02,60088.87,40433.29,1470.08,0,6150.0,898.5,2700.0,4445.0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,53,0,1,0,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34
15,56,"М","Тула",0.0,0.0,111023.01,0.02,36233.28,30648.63,339628.6,136100.0,117349.45,27878.11,12948.43,0,2318.17,0,0,28304.0,0,4415.75,300.0,0,140.0,0,0,0,25680.0,25680.0,5500.0,0,3840.66,69,0,6,0,2,0,0,4,0,0,12,2,0,1,0,0,0,4,4,1,0,1,20
16,39,"М","Санкт-Петербург",0.0,530653.45,0.0,10.79,7957.54,22477.18,0.0,83897.19,129444.63,33476.380000000005,1499.96,0,0,0,0,21945.3,0,1778.0,0,0,300.0,0,0,0,0,0,2355.0,0,59.0,66,0,1,0,0,0,0,7,0,0,3,0,0,1,0,0,0,0,0,8,0,1,24
